Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2019-06-30,2019-06-30,44.0,,
2019-07-31,2019-07-31,48.9,,
2019-08-31,2019-08-31,55.8,,
2019-09-30,2019-09-30,55.9,,
2019-10-31,2019-10-31,48.4,,
2019-11-30,2019-11-30,52.6,,
2019-12-31,2019-12-31,44.4,,
2020-01-31,2020-01-31,47.8,,
2020-02-29,2020-02-29,48.5,,
2020-03-31,2020-03-31,49.2,,
2020-04-30,2020-04-30,45.2,,
2020-05-31,2020-05-31,47.9,,
2020-06-30,2020-06-30,46.5,,
2020-07-31,2020-07-31,51.8,,
2020-08-31,2020-08-31,44.9,,
2020-09-30,2020-09-30,47.3,,
2020-10-31,2020-10-31,51.2,,
2020-11-30,2020-11-30,44.3,,
2020-12-31,2020-12-31,53.6,,
2021-01-31,2021-01-31,53.6,,
2021-02-28,2021-02-28,48.0,,
2021-03-31,2021-03-31,52.7,,
2021-04-30,2021-04-30,63.0,,
2021-05-31,2021-05-31,62.3,,
2021-06-30,2021-06-30,60.3,,
2021-07-31,2021-07-31,55.1,,
2021-08-31,2021-08-31,55.0,,
2021-09-30,2021-09-30,56.0,,
2021-10-31,2021-10-31,51.6,,
2021-11-30,2021-11-30,58.6,,
2021-12-31,2021-12-31,52.5,,
2022-01-31,2022-01-31,52.5,,
2022-02-28,2022-02-28,55.9,,
2022-03-31,2022-03-31,53.5,,
2022-04-30,2022-04-30,61.2,,
2022-05-31,2022-05-31,55.7,,
2022-06-30,2022-06-30,56.7,,
2022-07-31,2022-07-31,55.1,,
2022-08-31,2022-08-31,45.9,,
2022-09-30,2022-09-30,50.0,,
2022-10-31,2022-10-31,49.9,,
2022-11-30,2022-11-30,46.7,,
